Store,Week,Temperature,Holiday,CPI,FuelPrice,Unemployment,WeeklySales
8,109,50.95,No,224.3959793,3.63,5.825,952264.91
2,127,84.2,No,221.5215064,3.227,6.565,2041507.4
38,72,86.84,No,129.0432,3.935,13.736,356797
41,27,69.21,No,190.0990028,2.69,7.335,1338132.72
35,125,73.23,No,142.1606464,3.564,8.876,911696
12,98,43.29,No,129.8980645,3.6,12.89,1293404.18
43,89,68.09,No,209.0752166,3.274,10.148,590984.56
35,22,76.25,No,136.3722893,2.815,8.861,1245827.08
8,133,81.21,No,225.6050797,3.571,5.401,896613.19
5,137,76.65,No,223.1734167,3.717,5.603,299800.67
44,69,54.62,No,129.0623548,3.778,6.906,308442.49
1,67,75.64,No,215.9640526,3.899,7.682,1604775.58
6,56,62.86,No,215.0679731,3.065,6.858,1422600.43
31,45,46.35,No,211.1247993,2.843,8.163,1475685.1
2,58,52.7,No,213.7646401,3.459,8.028,1879107.31
5,4,46.7,No,211.8771468,2.561,6.566,270281.63
2,18,81.81,No,210.833616,2.705,8.2,2102539.93
4,55,48.17,No,127.99525,3.058,6.51,2316495.56
3,128,82.28,No,225.4340074,3.256,6.334,416913.1
30,40,58.71,No,211.6135053,2.689,8.163,484661.87
21,111,63.39,No,220.8498468,3.734,7.057,767338.32
36,20,84.37,No,210.2108417,2.572,8.464,485694.72
35,96,50.55,No,140.4307857,3.452,8.745,903606.03
22,108,39,No,141.3007857,3.751,7.503,912958.95
45,7,48.79,No,182.0779857,2.844,8.992,773819.49
21,43,62.96,Yes,211.4062867,2.735,8.163,1245628.61
32,14,48.94,No,189.5312483,2.771,8.963,1133657.58
16,59,36.5,No,192.1237981,3.406,6.614,497373.49
25,59,40.94,No,207.4283845,3.631,7.343,603393.64
3,88,75.54,No,220.4299007,3.285,7.197,403342.4
18,91,45.61,No,136.4884516,3.604,8.471,1106642.63
45,27,77.17,No,182.5320862,2.784,8.743,746517.32
18,100,32.36,Yes,136.6432581,3.402,8.471,1010562.49
41,4,21.84,No,189.6018023,2.586,7.541,991941.73
8,112,52.9,No,224.8399424,3.787,5.825,874223.25
25,117,44.2,No,214.4223063,4.004,7.139,655157.32
32,56,33,No,191.9647167,3.101,8.818,1054754.67
2,116,65.69,No,221.2021074,3.877,6.891,1847344.45
17,81,67.59,No,129.2405806,3.578,6.745,797523.04
